,A:7,A:aug,A:dim,A:dim7,A:hdim7,A:maj,A:maj6,A:maj7,A:min,A:min6,A:min7,A:minmaj7,A:sus2,A:sus4,Ab:7,Ab:aug,Ab:dim,Ab:dim7,Ab:hdim7,Ab:maj,Ab:maj6,Ab:maj7,Ab:min,Ab:min6,Ab:min7,Ab:minmaj7,Ab:sus2,Ab:sus4,B:7,B:aug,B:dim,B:hdim7,B:maj,B:maj6,B:maj7,B:min,B:min6,B:min7,B:sus2,B:sus4,Bb:7,Bb:aug,Bb:dim,Bb:hdim7,Bb:maj,Bb:maj6,Bb:maj7,Bb:min,Bb:min6,Bb:min7,Bb:minmaj7,Bb:sus2,Bb:sus4,C#:7,C#:aug,C#:dim,C#:dim7,C#:hdim7,C#:maj,C#:maj6,C#:maj7,C#:min,C#:min6,C#:min7,C#:minmaj7,C#:sus2,C#:sus4,C:7,C:aug,C:dim,C:dim7,C:hdim7,C:maj,C:maj6,C:maj7,C:min,C:min6,C:min7,C:minmaj7,C:sus2,C:sus4,D:7,D:aug,D:dim,D:dim7,D:hdim7,D:maj,D:maj6,D:maj7,D:min,D:min6,D:min7,D:sus2,D:sus4,E:7,E:aug,E:dim,E:dim7,E:hdim7,E:maj,E:maj6,E:maj7,E:min,E:min6,E:min7,E:minmaj7,E:sus2,E:sus4,Eb:7,Eb:aug,Eb:dim,Eb:dim7,Eb:hdim7,Eb:maj,Eb:maj6,Eb:maj7,Eb:min,Eb:min6,Eb:min7,Eb:minmaj7,Eb:sus2,Eb:sus4,F#:7,F#:aug,F#:dim,F#:dim7,F#:hdim7,F#:maj,F#:maj6,F#:maj7,F#:min,F#:min6,F#:min7,F#:minmaj7,F#:sus2,F#:sus4,F:7,F:aug,F:dim,F:dim7,F:hdim7,F:maj,F:maj6,F:maj7,F:min,F:min6,F:min7,F:minmaj7,F:sus2,F:sus4,G:7,G:aug,G:dim,G:dim7,G:hdim7,G:maj,G:maj6,G:maj7,G:min,G:min7,G:minmaj7,G:sus2,G:sus4
A:min7,0.53%,0.00%,0.00%,0.00%,0.00%,0.53%,0.18%,0.00%,15.86%,0.00%,3.74%,0.00%,1.96%,1.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%,0.53%,0.00%,2.14%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,2.14%,0.18%,1.96%,0.00%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.74%,0.00%,1.43%,0.18%,0.00%,0.00%,0.00%,1.25%,0.36%,1.43%,0.00%,0.00%,0.00%,0.00%,10.34%,0.00%,0.00%,8.38%,0.00%,3.21%,1.78%,2.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%,6.60%,0.00%,2.14%,0.00%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.36%,0.00%,0.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.13%,0.00%,0.36%,0.00%,0.00%,0.00%,0.00%,1.43%,0.36%,0.00%,0.00%,0.00%,0.00%,0.00%,6.06%,1.43%,0.53%,3.21%,0.36%,0.00%,0.18%,0.36%
A:minmaj7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
A:sus2,0.00%,0.00%,0.00%,0.00%,0.00%,20.12%,0.41%,3.32%,10.58%,0.00%,2.07%,0.00%,2.90%,1.04%,0.41%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.62%,0.00%,0.41%,0.00%,0.00%,0.00%,0.62%,0.00%,0.21%,0.62%,1.45%,0.00%,0.00%,2.49%,0.00%,2.07%,2.07%,1.45%,0.00%,0.00%,0.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.21%,0.00%,0.00%,1.45%,0.00%,0.21%,0.83%,0.00%,2.90%,0.00%,0.21%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,5.60%,0.41%,6.22%,0.83%,0.21%,0.00%,0.00%,0.62%,0.21%,0.21%,0.00%,0.00%,0.00%,0.00%,6.02%,0.00%,0.41%,2.28%,0.00%,0.21%,0.62%,0.41%,0.00%,0.00%,0.00%,0.00%,0.00%,4.56%,0.83%,0.00%,1.24%,0.00%,0.21%,0.00%,0.21%,0.83%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%,0.62%,0.00%,0.83%,0.00%,0.62%,0.41%,0.00%,0.00%,0.00%,0.00%,0.00%,2.90%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.66%,0.00%,0.00%,0.00%,0.00%,0.00%,0.41%,0.00%
A:sus4,1.69%,0.00%,0.00%,0.00%,0.00%,22.97%,0.00%,0.34%,13.85%,0.00%,2.03%,0.00%,2.03%,6.42%,0.00%,0.00%,0.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.00%,0.00%,0.00%,0.68%,0.00%,0.00%,1.69%,0.00%,0.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.69%,0.00%,2.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.50%,0.00%,0.34%,5.41%,0.00%,2.70%,2.36%,1.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.01%,0.00%,0.68%,0.00%,0.00%,1.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.70%,0.00%,0.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.03%,0.00%,0.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.00%,0.00%,0.00%,0.00%,4.73%,0.68%,0.34%,1.69%,0.68%,0.00%,0.00%,0.68%
Ab:7,0.00%,0.00%,0.00%,0.00%,0.00%,0.62%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.23%,0.00%,0.00%,0.00%,0.00%,1.23%,0.00%,0.00%,1.23%,0.00%,0.62%,0.00%,1.85%,0.00%,0.00%,0.00%,0.00%,0.00%,3.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.94%,0.00%,1.23%,0.00%,0.00%,0.00%,1.23%,0.00%,0.00%,0.00%,0.00%,14.81%,0.00%,1.23%,17.90%,0.00%,0.00%,0.00%,4.94%,0.62%,0.00%,0.00%,0.62%,0.00%,0.00%,0.00%,0.00%,0.00%,1.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.23%,0.00%,0.62%,0.00%,0.00%,0.00%,0.00%,1.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.56%,0.00%,1.23%,0.00%,0.00%,0.00%,0.00%,0.62%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.23%,0.00%,0.00%,4.32%,0.00%,20.99%,0.00%,0.00%,1.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ab:aug,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,60.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ab:dim,0.00%,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,0.00%,6.25%,0.00%,4.17%,0.00%,2.08%,0.00%,0.00%,0.00%,2.08%,14.58%,0.00%,2.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.08%,0.00%,0.00%,0.00%,0.00%,6.25%,0.00%,0.00%,2.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.08%,0.00%,0.00%,2.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.67%,0.00%,0.00%,4.17%,0.00%,0.00%,0.00%,0.00%
Ab:dim7,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%
Ab:hdim7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,22.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,22.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ab:maj,0.00%,0.00%,0.21%,0.00%,0.00%,0.38%,0.00%,0.04%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.04%,0.04%,0.00%,0.00%,12.18%,0.15%,0.77%,0.75%,0.00%,0.04%,0.02%,0.98%,1.11%,0.00%,0.00%,0.00%,0.00%,0.62%,0.00%,0.00%,0.02%,0.00%,0.02%,0.00%,0.00%,0.36%,0.00%,0.00%,0.00%,11.82%,0.04%,0.00%,8.70%,0.00%,1.20%,0.00%,0.71%,1.15%,0.06%,0.00%,0.00%,0.00%,0.00%,13.42%,0.09%,0.56%,3.40%,0.00%,0.24%,0.00%,1.50%,0.41%,0.11%,0.13%,0.11%,0.00%,0.00%,0.96%,0.00%,0.00%,4.21%,0.00%,0.98%,0.00%,0.00%,0.00%,0.02%,0.00%,0.04%,0.00%,0.00%,0.06%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.45%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%,0.00%,0.00%,0.00%,8.87%,0.04%,0.13%,1.86%,0.00%,0.13%,0.00%,0.58%,0.56%,0.02%,0.00%,0.00%,0.00%,0.00%,3.65%,0.30%,0.32%,0.41%,0.00%,0.00%,0.00%,0.15%,0.04%,0.09%,0.00%,0.00%,0.00%,0.00%,0.77%,0.00%,0.00%,6.09%,0.00%,0.85%,0.00%,0.06%,0.13%,0.00%,0.00%,0.04%,0.00%,0.06%,2.07%,0.00%,0.00%,3.61%,0.21%,0.00%,0.00%,0.24%
Ab:maj6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.41%,0.00%,0.00%,0.00%,0.00%,12.68%,0.00%,2.82%,1.41%,0.00%,0.00%,0.00%,4.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.82%,0.00%,0.00%,0.00%,7.04%,0.00%,0.00%,2.82%,0.00%,1.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.82%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,28.17%,5.63%,1.41%,0.00%,0.00%,0.00%,0.00%,7.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.63%,0.00%,1.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.41%,0.00%,0.00%,0.00%,0.00%
Ab:maj7,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,0.00%,0.00%,1.10%,0.00%,0.00%,0.00%,1.83%,0.00%,0.37%,0.00%,0.00%,0.00%,0.00%,7.69%,1.10%,5.13%,0.00%,0.00%,0.37%,0.00%,2.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.83%,0.00%,0.00%,0.00%,10.26%,6.59%,0.00%,1.83%,0.00%,2.56%,0.00%,1.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.62%,0.00%,0.37%,0.00%,0.00%,0.00%,0.00%,0.73%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.73%,0.00%,0.00%,5.49%,0.00%,1.83%,0.00%,0.73%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,0.00%,0.00%,0.00%,0.00%,4.40%,0.00%,0.37%,0.00%,0.00%,0.00%,0.00%,2.20%,0.73%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.10%,0.00%,0.00%,12.09%,0.00%,1.10%,0.00%,0.00%,0.00%,0.00%,0.73%,0.00%,0.00%,0.00%,1.47%,0.00%,0.37%,7.33%,1.47%,0.00%,0.00%,1.10%
Ab:min,0.00%,0.00%,0.00%,0.00%,0.00%,4.54%,0.00%,0.55%,0.07%,0.00%,0.00%,0.00%,0.26%,0.00%,0.29%,0.00%,0.00%,0.00%,0.00%,1.76%,0.00%,0.00%,12.44%,0.00%,1.43%,0.00%,1.76%,1.46%,0.07%,0.00%,0.00%,0.00%,4.28%,0.18%,1.02%,0.18%,0.00%,0.00%,0.26%,0.07%,0.11%,0.00%,0.22%,0.07%,0.77%,0.00%,0.00%,1.79%,0.00%,0.40%,0.00%,0.00%,0.15%,0.26%,0.00%,0.00%,0.00%,0.00%,9.00%,0.00%,0.07%,20.19%,0.00%,0.48%,0.00%,1.13%,0.44%,0.00%,0.00%,0.04%,0.00%,0.00%,0.07%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.24%,0.00%,0.77%,0.18%,0.00%,0.00%,0.00%,0.07%,0.00%,0.04%,0.04%,0.00%,0.00%,0.04%,1.06%,0.00%,0.00%,6.29%,0.00%,0.48%,0.00%,0.00%,1.06%,0.26%,0.00%,0.00%,0.00%,0.00%,7.57%,0.29%,0.07%,3.84%,0.00%,0.11%,0.00%,0.66%,0.04%,0.00%,0.00%,0.15%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.04%,0.00%,0.00%,0.07%,0.00%,0.04%,0.33%,0.00%,0.00%,0.00%,0.00%
Ab:min6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,28.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,42.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ab:min7,0.00%,0.00%,0.00%,0.00%,0.00%,4.26%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.50%,0.00%,0.75%,0.00%,0.00%,0.00%,0.00%,1.25%,0.00%,0.00%,7.77%,0.00%,4.26%,0.00%,1.50%,1.25%,0.00%,0.00%,0.00%,0.00%,8.02%,0.50%,4.01%,0.00%,0.00%,0.00%,1.50%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.25%,0.00%,2.51%,0.00%,0.00%,0.00%,3.76%,0.00%,0.00%,0.00%,0.00%,7.02%,0.00%,0.00%,7.02%,0.00%,3.26%,0.00%,0.50%,4.26%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.51%,0.00%,2.01%,0.00%,0.00%,0.00%,0.00%,0.75%,2.26%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,3.01%,0.00%,1.50%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,6.27%,1.50%,0.00%,6.77%,0.00%,0.25%,0.00%,0.25%,0.75%,0.00%,0.00%,1.25%,0.00%,0.25%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
