,A:7,A:aug,A:dim,A:dim7,A:hdim7,A:maj,A:maj6,A:maj7,A:min,A:min6,A:min7,A:minmaj7,A:sus2,A:sus4,Ab:7,Ab:aug,Ab:dim,Ab:dim7,Ab:hdim7,Ab:maj,Ab:maj6,Ab:maj7,Ab:min,Ab:min6,Ab:min7,Ab:minmaj7,Ab:sus2,Ab:sus4,B:7,B:aug,B:dim,B:hdim7,B:maj,B:maj6,B:maj7,B:min,B:min6,B:min7,B:sus2,B:sus4,Bb:7,Bb:aug,Bb:dim,Bb:hdim7,Bb:maj,Bb:maj6,Bb:maj7,Bb:min,Bb:min6,Bb:min7,Bb:minmaj7,Bb:sus2,Bb:sus4,C#:7,C#:aug,C#:dim,C#:dim7,C#:hdim7,C#:maj,C#:maj6,C#:maj7,C#:min,C#:min6,C#:min7,C#:minmaj7,C#:sus2,C#:sus4,C:7,C:aug,C:dim,C:dim7,C:hdim7,C:maj,C:maj6,C:maj7,C:min,C:min6,C:min7,C:minmaj7,C:sus2,C:sus4,D:7,D:aug,D:dim,D:dim7,D:hdim7,D:maj,D:maj6,D:maj7,D:min,D:min6,D:min7,D:sus2,D:sus4,E:7,E:aug,E:dim,E:dim7,E:hdim7,E:maj,E:maj6,E:maj7,E:min,E:min6,E:min7,E:minmaj7,E:sus2,E:sus4,Eb:7,Eb:aug,Eb:dim,Eb:dim7,Eb:hdim7,Eb:maj,Eb:maj6,Eb:maj7,Eb:min,Eb:min6,Eb:min7,Eb:minmaj7,Eb:sus2,Eb:sus4,F#:7,F#:aug,F#:dim,F#:dim7,F#:hdim7,F#:maj,F#:maj6,F#:maj7,F#:min,F#:min6,F#:min7,F#:minmaj7,F#:sus2,F#:sus4,F:7,F:aug,F:dim,F:dim7,F:hdim7,F:maj,F:maj6,F:maj7,F:min,F:min6,F:min7,F:minmaj7,F:sus2,F:sus4,G:7,G:aug,G:dim,G:dim7,G:hdim7,G:maj,G:maj6,G:maj7,G:min,G:min7,G:minmaj7,G:sus2,G:sus4,end_chord,start_chord
A:min7,0.58%,0.00%,0.00%,0.00%,0.00%,0.46%,0.19%,0.00%,14.05%,0.00%,3.24%,0.00%,1.68%,1.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.15%,0.00%,0.00%,0.78%,0.00%,1.72%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,2.29%,0.42%,2.01%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.34%,0.00%,1.06%,0.11%,0.00%,0.00%,0.00%,1.30%,0.28%,1.65%,0.00%,0.00%,0.00%,0.00%,11.74%,0.00%,0.00%,9.68%,0.00%,3.17%,1.73%,3.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,5.81%,0.00%,1.95%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.00%,0.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.75%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,1.11%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,6.84%,1.16%,0.70%,3.02%,0.84%,0.00%,0.20%,0.34%,0.19%,0.00%
A:minmaj7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,45.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,54.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
A:sus2,0.00%,0.00%,0.00%,0.00%,0.00%,20.11%,0.33%,2.87%,10.59%,0.00%,1.83%,0.00%,2.78%,0.88%,0.50%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.71%,0.00%,0.42%,0.00%,0.00%,0.00%,0.44%,0.00%,0.18%,0.53%,1.34%,0.00%,0.00%,2.41%,0.00%,1.88%,1.85%,1.18%,0.00%,0.00%,0.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.24%,0.00%,0.00%,2.20%,0.00%,0.22%,0.80%,0.00%,2.23%,0.00%,0.19%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,5.88%,0.41%,4.78%,0.87%,0.23%,0.00%,0.00%,0.44%,0.12%,0.35%,0.00%,0.00%,0.00%,0.00%,6.95%,0.00%,0.33%,2.90%,0.00%,0.19%,0.80%,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,4.61%,0.72%,0.00%,1.51%,0.00%,0.19%,0.00%,0.17%,0.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.00%,0.00%,0.00%,0.51%,0.00%,0.64%,0.00%,0.34%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,3.06%,0.00%,0.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.87%,0.00%,0.00%,0.00%,0.00%,0.00%,0.46%,0.00%,1.59%,0.00%
A:sus4,1.23%,0.00%,0.00%,0.00%,0.00%,25.04%,0.00%,0.26%,12.44%,0.00%,1.70%,0.00%,2.24%,5.95%,0.00%,0.00%,0.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.26%,0.00%,0.00%,0.00%,0.42%,0.00%,0.00%,1.49%,0.00%,0.66%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.93%,0.00%,1.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.61%,0.00%,0.24%,5.79%,0.00%,2.04%,2.46%,1.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.22%,0.00%,0.62%,0.00%,0.00%,1.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.78%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.82%,0.00%,0.82%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.00%,0.00%,0.00%,0.00%,5.60%,0.37%,0.39%,1.83%,0.54%,0.00%,0.00%,0.71%,0.92%,0.00%
Ab:7,0.00%,0.00%,0.00%,0.00%,0.00%,0.62%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.03%,0.00%,0.00%,0.00%,0.00%,1.18%,0.00%,0.00%,1.16%,0.00%,0.32%,0.00%,1.44%,0.00%,0.00%,0.00%,0.00%,0.00%,4.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.77%,0.00%,1.29%,0.00%,0.00%,0.00%,0.87%,0.00%,0.00%,0.00%,0.00%,16.57%,0.00%,1.66%,17.10%,0.00%,0.00%,0.00%,5.27%,0.62%,0.00%,0.00%,0.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.93%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.10%,0.00%,0.39%,0.00%,0.00%,0.00%,0.00%,0.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.75%,0.00%,1.12%,0.00%,0.00%,0.00%,0.00%,0.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.71%,0.00%,0.00%,4.24%,0.00%,20.72%,0.00%,0.00%,1.71%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ab:aug,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,51.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,48.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ab:dim,0.00%,0.00%,0.00%,0.00%,0.00%,9.97%,0.00%,0.00%,5.35%,0.00%,3.12%,0.00%,1.06%,0.00%,0.00%,0.00%,1.51%,15.10%,0.00%,1.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.73%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.06%,0.00%,0.00%,0.00%,0.00%,4.81%,0.00%,0.00%,2.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.12%,0.00%,0.00%,2.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,17.97%,0.00%,0.00%,5.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ab:dim7,0.00%,0.00%,0.00%,0.00%,0.00%,8.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.74%,0.00%,11.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,49.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ab:hdim7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.28%,0.00%,0.00%,14.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,28.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ab:maj,0.00%,0.00%,0.24%,0.00%,0.00%,0.37%,0.00%,0.04%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.33%,0.06%,0.03%,0.00%,0.00%,10.87%,0.15%,0.79%,0.75%,0.00%,0.05%,0.02%,0.81%,0.89%,0.00%,0.00%,0.00%,0.00%,0.47%,0.00%,0.00%,0.03%,0.00%,0.02%,0.00%,0.00%,0.40%,0.00%,0.00%,0.00%,11.39%,0.03%,0.00%,9.34%,0.00%,1.11%,0.00%,0.59%,1.04%,0.07%,0.00%,0.00%,0.00%,0.00%,14.12%,0.08%,0.63%,3.35%,0.00%,0.22%,0.00%,1.51%,0.43%,0.09%,0.11%,0.14%,0.00%,0.00%,1.05%,0.00%,0.00%,4.26%,0.00%,0.75%,0.00%,0.00%,0.00%,0.02%,0.00%,0.07%,0.00%,0.00%,0.08%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.44%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,8.78%,0.02%,0.13%,1.89%,0.00%,0.12%,0.00%,0.51%,0.43%,0.02%,0.00%,0.00%,0.00%,0.00%,3.62%,0.26%,0.37%,0.39%,0.00%,0.00%,0.00%,0.17%,0.04%,0.09%,0.00%,0.00%,0.00%,0.00%,1.07%,0.00%,0.00%,6.39%,0.00%,0.72%,0.00%,0.05%,0.11%,0.00%,0.00%,0.04%,0.00%,0.06%,2.09%,0.00%,0.00%,3.50%,0.20%,0.00%,0.00%,0.21%,1.15%,0.00%
Ab:maj6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.75%,0.00%,0.00%,0.00%,0.00%,11.42%,0.00%,1.54%,1.16%,0.00%,0.00%,0.00%,4.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.64%,0.00%,0.00%,0.00%,5.48%,0.00%,0.00%,3.56%,0.00%,1.73%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.73%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,28.11%,5.35%,1.73%,0.00%,0.00%,0.00%,0.00%,8.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.16%,0.00%,1.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ab:maj7,0.00%,0.00%,0.00%,0.00%,0.00%,0.43%,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,2.08%,0.00%,0.46%,0.00%,0.00%,0.00%,0.00%,7.29%,0.70%,5.59%,0.00%,0.00%,0.26%,0.00%,1.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.32%,0.00%,0.00%,0.00%,13.25%,4.47%,0.00%,1.27%,0.00%,1.81%,0.00%,0.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.47%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.55%,0.00%,0.00%,5.62%,0.00%,1.36%,0.00%,0.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,5.20%,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%,2.16%,0.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.04%,0.00%,0.00%,17.24%,0.00%,1.49%,0.00%,0.00%,0.00%,0.00%,0.69%,0.00%,0.00%,0.00%,1.69%,0.00%,0.45%,5.33%,0.88%,0.00%,0.00%,1.04%,0.40%,0.00%
Ab:min,0.00%,0.00%,0.00%,0.00%,0.00%,4.72%,0.00%,0.60%,0.10%,0.00%,0.00%,0.00%,0.23%,0.00%,0.27%,0.00%,0.00%,0.00%,0.00%,1.63%,0.00%,0.00%,11.69%,0.00%,1.05%,0.00%,1.40%,1.26%,0.07%,0.00%,0.00%,0.00%,4.34%,0.16%,0.65%,0.18%,0.00%,0.00%,0.25%,0.05%,0.14%,0.00%,0.24%,0.08%,0.73%,0.00%,0.00%,1.81%,0.00%,0.39%,0.00%,0.00%,0.11%,0.19%,0.00%,0.00%,0.00%,0.00%,9.36%,0.00%,0.11%,20.74%,0.00%,0.48%,0.00%,1.11%,0.44%,0.00%,0.00%,0.05%,0.00%,0.00%,0.07%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.11%,0.00%,0.75%,0.23%,0.00%,0.00%,0.00%,0.06%,0.00%,0.03%,0.04%,0.00%,0.00%,0.03%,1.07%,0.00%,0.00%,6.54%,0.00%,0.40%,0.00%,0.00%,0.99%,0.25%,0.00%,0.00%,0.00%,0.00%,7.79%,0.29%,0.06%,4.02%,0.00%,0.12%,0.00%,0.62%,0.03%,0.00%,0.00%,0.18%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.04%,0.00%,0.00%,0.08%,0.00%,0.03%,0.42%,0.00%,0.00%,0.00%,0.00%,0.60%,0.00%
Ab:min6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.47%,0.00%,0.00%,0.00%,0.00%,11.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,34.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,38.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ab:min7,0.00%,0.00%,0.00%,0.00%,0.00%,4.27%,0.00%,0.00%,0.41%,0.00%,0.00%,0.00%,0.30%,0.00%,0.88%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,7.32%,0.00%,2.86%,0.00%,1.26%,1.10%,0.00%,0.00%,0.00%,0.00%,8.42%,0.50%,2.74%,0.00%,0.00%,0.00%,1.60%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,1.75%,0.00%,0.00%,0.00%,4.65%,0.00%,0.00%,0.00%,0.00%,7.86%,0.00%,0.00%,8.93%,0.00%,3.52%,0.00%,0.45%,4.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.33%,0.00%,2.59%,0.00%,0.00%,0.00%,0.00%,0.45%,1.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.93%,0.00%,0.00%,2.28%,0.00%,1.27%,0.00%,0.00%,0.42%,0.00%,0.00%,0.00%,0.00%,0.00%,6.84%,1.35%,0.00%,8.67%,0.00%,0.25%,0.00%,0.27%,0.61%,0.00%,0.00%,1.38%,0.00%,0.21%,0.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
